cmd=draw lib=pthread power=26,,,,,,,cmd=draw lib=tbb power=26,,,
threads,elapsed,f(i),p(i),,,,threads,elapsed,f(i),p(i)
1,4.85,0.981443298969072,,,,,1,4.763,0.999370144866681,
2,2.587,1.83996907614998,0.913025210084034,,,,2,2.54,1.8740157480315,0.932773109243697
3,1.857,2.56327409800754,0.914810924369748,,,,3,1.773,2.68471517202482,0.941281512605042
4,1.577,3.01838934686113,0.891596638655462,,,,4,1.393,3.41708542713568,0.943137254901961
5,1.72,2.76744186046512,0.798319327731092,,,,5,1.397,3.40730136005727,0.883140756302521
6,1.587,2.99936988027725,0.799915966386555,,,,6,1.4,3.4,0.847058823529412
7,1.613,2.95102293862368,0.771323529411765,,,,7,1.397,3.40730136005727,0.824264705882353
8,1.59,2.9937106918239,0.761104441776711,,,,8,1.41,3.37588652482269,0.804321728691476
Moyenne,,,0.835728005487909,,,,Moyenne,,,0.882282555879494
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
cmd=draw lib=serial power=26,,,,,,,,,,
threads,sys,user,elapsed,,,,,,,
1,0.277,4.477,4.76,,,,,,,
