cmd=limits lib=pthread power=26,,,,,,,cmd=limits lib=tbb power=26,,,
threads,elapsed,f(i),p(i),,,,threads,elapsed,f(i),p(i)
1,1.883,0.996813595326607,,,,,1,1.88,0.998404255319149,
2,1,1.877,0.93446989877464,,,,2,1,1.877,0.93446989877464
3,0.69,2.72028985507246,0.948588172615876,,,,3,0.687,2.73216885007278,0.950985615343634
4,0.563,3.33392539964476,0.933404368673415,,,,4,0.54,3.47592592592593,0.949742496892204
5,0.64,2.9328125,0.823787959509856,,,,5,0.53,3.54150943396226,0.897043153969099
6,0.58,3.23620689655172,0.829195524773575,,,,6,0.53,3.54150943396226,0.861161427810336
7,0.583,3.21955403087479,0.804297638074942,,,,7,0.53,3.54150943396226,0.837240277037826
8,0.56,3.35178571428571,0.801887510465028,,,,8,0.537,3.49534450651769,0.815891620366847
Moyenne,,,0.867947296126762,,,,Moyenne,,,0.892362070027798
,,,,,,,,,,
,,,,,,,,,,
cmd=limits lib=serial power=26,,,,,,,,,,
threads,sys,user,elapsed,,,,,,,
1,0,1.873,1.877,,,,,,,
