thread,ht,func,L1-dcache-load-misses,L1-dcache-loads,cycles,instructions,
1,0,fast,7871035,222045343,822533772,2206761619,
1,0,slow_a,7874097,2695800242,2542108310,6653009910,
1,0,slow_b,7873544,1190809430,3276468612,4613034117,
1,0,slow_c,7884494,1690819591,9868688151,5113012572,
1,0,slow_d,7907608,4690862144,26291565058,11613020186,
1,0,slow_e,502769559,690833554,8330898699,5113052736,
1,0,slow_f,7870515,222051305,822590594,2206786943,
2,1,fast,7875768,222050168,1084733931,2226769857,
2,1,slow_a,7875643,2695803445,2807489575,6673016099,
2,1,slow_b,15695691,1190814756,3543751707,4633053573,
2,1,slow_c,7891290,1690823863,10135671012,5133022173,
2,1,slow_d,7932259,4690875786,26573913997,11633063813,
2,1,slow_e,502746439,690837848,8866047428,5133059458,
2,1,slow_f,7872850,222058515,1082170863,2226812755,
2,0,fast,7878865,222050445,1088384344,2226771854,
2,0,slow_a,7881460,2695806128,2810261834,6673019384,
2,0,slow_b,146689611,1190857984,14934820790,4633060401,
2,0,slow_c,754418581,1691113345,108825438080,5133048728,
2,0,slow_d,836900498,5266126953,98843183883,15489185558,
2,0,slow_e,675553451,690847957,14218298702,5133058970,
2,0,slow_f,7883889,222061079,1079683735,2226818387,
